epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
28,4784.91,0.60941,0.37985,0.94664,0.99143,0.99351,0.9895,0.86614,0.54033,0.30223,0.67867,0.000775822,0.000775822,0.000775822
29,4943.01,0.63351,0.39751,0.9552,0.99125,0.99351,0.98951,0.86495,0.53041,0.29432,0.66648,0.000742815,0.000742815,0.000742815
30,5100.18,0.60311,0.3698,0.93653,0.99096,0.99351,0.98988,0.86491,0.56956,0.28707,0.69218,0.000709809,0.000709809,0.000709809
31,5259.09,0.60538,0.36448,0.94891,0.9913,0.99351,0.99111,0.86484,0.56231,0.28265,0.69358,0.000676802,0.000676802,0.000676802
32,5415.76,0.63768,0.37061,0.94774,0.99109,0.99351,0.98763,0.87575,0.51755,0.30098,0.67151,0.000643795,0.000643795,0.000643795
33,5579.15,0.59879,0.37337,0.9517,0.98988,0.99351,0.98906,0.88071,0.50699,0.32047,0.66702,0.000610789,0.000610789,0.000610789
34,5734.47,0.61462,0.37867,0.93623,0.99127,0.99351,0.98653,0.87941,0.52358,0.28109,0.67009,0.000577782,0.000577782,0.000577782
35,5898.34,0.64974,0.4099,0.9591,0.99105,0.99351,0.99214,0.88073,0.53176,0.28394,0.68179,0.000544776,0.000544776,0.000544776
36,6054.55,0.59527,0.35979,0.92873,0.99138,0.99351,0.99002,0.87437,0.53888,0.29211,0.66825,0.000511769,0.000511769,0.000511769
37,6217.29,0.59466,0.34713,0.94087,0.99125,0.99351,0.98711,0.87757,0.51853,0.29014,0.66154,0.000478762,0.000478762,0.000478762
38,6376.79,0.59117,0.34363,0.93673,0.9914,0.99351,0.98658,0.87663,0.51735,0.2784,0.6619,0.000445756,0.000445756,0.000445756
39,6534.18,0.60428,0.37475,0.93425,0.99159,0.99351,0.989,0.87597,0.53204,0.28468,0.6729,0.000412749,0.000412749,0.000412749
40,6687.26,0.57992,0.3314,0.93289,0.99143,0.99351,0.9898,0.88569,0.50198,0.27192,0.65519,0.000379743,0.000379743,0.000379743
41,6839.35,0.5262,0.28224,0.90945,0.99146,0.99351,0.98692,0.87965,0.5142,0.2822,0.66167,0.000346736,0.000346736,0.000346736
42,6991.93,0.52999,0.27742,0.9218,0.99159,0.99351,0.98943,0.88473,0.50637,0.27369,0.65568,0.000313729,0.000313729,0.000313729
43,7147.22,0.53451,0.28097,0.92597,0.99131,0.99351,0.99129,0.87546,0.55638,0.28872,0.67841,0.000280723,0.000280723,0.000280723
44,7329.59,0.54502,0.27723,0.90763,0.99147,0.99351,0.99002,0.88313,0.49929,0.2745,0.65812,0.000247716,0.000247716,0.000247716
45,7507.57,0.52125,0.26175,0.89046,0.99145,0.99351,0.99314,0.88836,0.51264,0.27281,0.66244,0.00021471,0.00021471,0.00021471
46,7686.62,0.62924,0.29776,1.02154,0.99159,0.99351,0.99118,0.88742,0.50484,0.27518,0.6597,0.000181703,0.000181703,0.000181703
47,7870.93,0.61845,0.28415,0.9947,0.99142,0.99351,0.99289,0.88627,0.4928,0.26354,0.6564,0.000148696,0.000148696,0.000148696
48,8071,0.49564,0.24815,0.8972,0.9914,0.99351,0.99226,0.88806,0.49312,0.26369,0.65581,0.00011569,0.00011569,0.00011569
49,8272.01,0.4923,0.24989,0.8873,0.99145,0.99351,0.98856,0.88576,0.48488,0.2581,0.65344,8.26832e-05,8.26832e-05,8.26832e-05
50,8483.66,0.4869,0.23868,0.9005,0.9915,0.99351,0.99157,0.889,0.48382,0.25666,0.65394,4.96766e-05,4.96766e-05,4.96766e-05
