epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,172.076,1.17531,2.26367,1.32002,0.90704,0.84062,0.91319,0.63538,1.01987,2.40247,0.99983,0.00053344,0.00053344,0.00053344
2,357.267,0.81225,1.2281,1.05951,0.81069,0.77863,0.93736,0.6888,0.8488,2.54947,1.03995,0.0010621,0.0010621,0.0010621
3,535.26,0.81349,1.13264,1.03244,0.91107,0.97118,0.98023,0.73439,0.90879,2.05212,0.96733,0.00156897,0.00156897,0.00156897
4,694.217,0.81782,1.07926,1.0378,0.98412,0.99351,0.98549,0.7156,1.02748,1.3267,1.10175,0.00156798,0.00156798,0.00156798
5,856.381,0.77524,0.89879,1.01103,0.54201,0.75892,0.8197,0.63102,0.75532,2.33959,0.84051,0.00153497,0.00153497,0.00153497
6,1016.96,0.78561,0.83341,1.02206,0.92418,0.94805,0.96379,0.7833,0.67756,0.96464,0.79052,0.00150197,0.00150197,0.00150197
7,1182.01,0.74993,0.71498,0.99503,0.9864,0.98147,0.98394,0.83945,0.62543,0.84403,0.73637,0.00146896,0.00146896,0.00146896
8,1340.26,0.73521,0.72675,0.99543,0.98954,0.99351,0.98847,0.82679,0.68902,0.67164,0.75031,0.00143595,0.00143595,0.00143595
9,1510.75,0.7171,0.65225,0.97029,0.98165,0.99314,0.98604,0.80042,0.66444,0.7368,0.74083,0.00140295,0.00140295,0.00140295
10,1667.28,0.72752,0.6212,0.99082,0.9773,0.8183,0.9851,0.83892,0.65787,0.76138,0.74194,0.00136994,0.00136994,0.00136994
11,1837.9,0.74937,0.58887,0.9977,0.97002,0.96724,0.98921,0.85036,0.6143,0.63606,0.72758,0.00133693,0.00133693,0.00133693
12,2022.88,0.69537,0.54213,0.97264,0.97253,0.97116,0.98604,0.84825,0.58566,0.58392,0.69611,0.00130393,0.00130393,0.00130393
13,2221.62,0.71641,0.53808,1.00397,0.94666,0.95844,0.98512,0.85775,0.57969,0.5584,0.70581,0.00127092,0.00127092,0.00127092
14,2406.29,0.6724,0.52951,0.97004,0.93257,0.96292,0.98445,0.85547,0.60259,0.50336,0.70989,0.00123791,0.00123791,0.00123791
15,2562.27,0.67423,0.49493,0.96505,0.98777,0.99351,0.99201,0.84497,0.65048,0.46026,0.74208,0.00120491,0.00120491,0.00120491
16,2727.07,0.70418,0.51632,0.98674,0.9876,0.98175,0.98733,0.84343,0.60025,0.40972,0.72368,0.0011719,0.0011719,0.0011719
17,2889.07,0.68762,0.45736,0.96068,0.99124,0.99351,0.9918,0.87822,0.54927,0.38544,0.68579,0.00113889,0.00113889,0.00113889
18,3067.22,0.67617,0.45467,0.96974,0.99142,0.99351,0.99434,0.87268,0.57397,0.34726,0.70241,0.00110589,0.00110589,0.00110589
19,3237.67,0.66634,0.44848,0.9532,0.99159,0.99351,0.99474,0.86542,0.60007,0.37113,0.70194,0.00107288,0.00107288,0.00107288
20,3417.84,0.67093,0.44613,0.96648,0.9864,0.9893,0.99378,0.87397,0.5764,0.37258,0.70502,0.00103987,0.00103987,0.00103987
21,3599.96,0.66,0.44489,0.96133,0.9908,0.99351,0.9881,0.85942,0.55063,0.3655,0.69492,0.00100687,0.00100687,0.00100687
22,3792.37,0.64586,0.40527,0.96744,0.99137,0.99351,0.99055,0.85883,0.56666,0.35505,0.70346,0.000973861,0.000973861,0.000973861
23,3971.48,0.64069,0.42098,0.9547,0.99129,0.99351,0.98534,0.84719,0.57205,0.32979,0.6996,0.000940855,0.000940855,0.000940855
24,4152.79,0.64404,0.42199,0.94335,0.99156,0.99351,0.98677,0.86013,0.54827,0.32782,0.68973,0.000907848,0.000907848,0.000907848
25,4308.05,0.63124,0.38359,0.9487,0.9912,0.99351,0.98995,0.86748,0.57286,0.35099,0.69706,0.000874842,0.000874842,0.000874842
26,4471.3,0.64295,0.39876,0.96037,0.98859,0.99351,0.98631,0.86907,0.53966,0.3496,0.68179,0.000841835,0.000841835,0.000841835
27,4624.8,0.62564,0.39537,0.95611,0.99133,0.99351,0.98793,0.86863,0.5351,0.33987,0.6734,0.000808828,0.000808828,0.000808828
