epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,140.306,1.65275,3.01091,1.70301,0.00813,0.6612,0.2711,0.06951,1.69837,4.27478,1.67361,0.00027151,0.00027151,0.00027151
2,279.887,0.93221,1.60538,1.1557,0.99432,0.31546,0.51024,0.33849,0.94036,2.97995,1.12962,0.000546275,0.000546275,0.000546275
3,415.793,0.87893,1.34623,1.09845,0.94027,0.64164,0.66862,0.53366,0.80668,2.48255,1.00626,0.000809723,0.000809723,0.000809723
4,549.017,0.87264,1.20125,1.07642,0.99183,0.62653,0.65561,0.53744,0.87428,1.97728,1.07737,0.00106185,0.00106185,0.00106185
5,691.75,0.8628,1.16087,1.08073,0.97336,0.62417,0.65547,0.57136,0.71501,1.97419,0.91769,0.00130266,0.00130266,0.00130266
6,821.392,0.84945,1.10191,1.07358,0.97378,0.64246,0.68701,0.5838,0.7302,1.60688,0.97675,0.00128753,0.00128753,0.00128753
7,958.714,0.83825,0.97137,1.06312,0.69131,0.56831,0.76158,0.61221,0.83492,3.25409,1.02976,0.00125923,0.00125923,0.00125923
8,1081.63,0.84761,0.99028,1.07397,0.83624,0.61925,0.96948,0.70649,0.7224,1.62222,0.88912,0.00123094,0.00123094,0.00123094
9,2862.26,0.79129,0.87986,1.05161,0.8956,0.65432,0.96099,0.62588,0.77931,1.35963,0.98886,0.00120265,0.00120265,0.00120265
10,2974.37,0.79559,0.87893,1.06232,0.97628,0.6612,0.93591,0.65403,0.67574,1.08077,0.9128,0.00117435,0.00117435,0.00117435
11,3067.13,0.83634,0.83589,1.0796,0.9258,0.6612,0.98715,0.81451,0.75601,1.03807,0.94132,0.00114606,0.00114606,0.00114606
12,3173.87,0.81308,0.76019,1.04935,0.89546,0.99454,0.98362,0.78933,0.70372,0.91857,0.85461,0.00111776,0.00111776,0.00111776
13,3295.15,0.78467,0.77235,1.04759,0.96744,0.99454,0.98037,0.82735,0.63841,0.84977,0.8329,0.00108947,0.00108947,0.00108947
14,3462.84,0.74992,0.74897,1.03081,0.91607,0.66667,0.93939,0.73318,0.71516,0.77721,0.87812,0.00106118,0.00106118,0.00106118
15,3643.75,0.77123,0.68503,1.03229,0.96176,0.58157,0.82589,0.63686,0.68691,0.98825,0.85403,0.00103288,0.00103288,0.00103288
16,3818.76,0.74579,0.70097,1.02776,0.91993,0.99454,0.991,0.73132,0.62296,0.68186,0.81079,0.00100459,0.00100459,0.00100459
17,3992.98,0.76361,0.69133,1.04461,0.50964,0.95062,0.90845,0.61012,0.85726,0.98638,1.02835,0.000976293,0.000976293,0.000976293
18,4175.33,0.72349,0.66299,1.03072,0.70137,0.98844,0.92289,0.68747,0.79326,0.89272,0.94646,0.000947999,0.000947999,0.000947999
19,4280.31,0.70839,0.63216,1.01719,0.98102,0.65391,0.67918,0.5645,0.7795,0.75835,0.89899,0.000919704,0.000919704,0.000919704
20,4383.69,0.73015,0.61034,1.01391,0.61564,0.98219,0.7012,0.60597,0.69267,0.74417,0.84361,0.00089141,0.00089141,0.00089141
21,4483.97,0.71252,0.59503,1.00281,0.94486,0.98219,0.99161,0.86887,0.69406,0.65499,0.83279,0.000863116,0.000863116,0.000863116
22,4581.16,0.68953,0.56259,1.00262,0.97619,0.99454,0.99268,0.86956,0.6026,0.56009,0.77975,0.000834822,0.000834822,0.000834822
23,4685.23,0.67828,0.53729,1.01986,0.97962,0.99454,0.9922,0.7993,0.65137,0.59758,0.80665,0.000806528,0.000806528,0.000806528
24,4783.69,0.67372,0.5482,0.99062,0.97841,0.99454,0.99155,0.80975,0.62669,0.54182,0.83109,0.000778233,0.000778233,0.000778233
25,4880.24,0.70671,0.54778,1.00496,0.96749,0.99022,0.99155,0.91117,0.6436,0.59838,0.81843,0.000749939,0.000749939,0.000749939
26,4992.6,0.69905,0.548,1.01136,0.98075,0.99081,0.98816,0.86519,0.64677,0.53585,0.80118,0.000721645,0.000721645,0.000721645
27,5089.15,0.6755,0.52308,0.99535,0.90644,0.97906,0.99204,0.88534,0.60573,0.55149,0.77184,0.000693351,0.000693351,0.000693351
28,5194.02,0.6578,0.51317,0.98744,0.92871,0.99454,0.98765,0.88773,0.58906,0.53591,0.77114,0.000665057,0.000665057,0.000665057
29,5303,0.71037,0.51847,1.01024,0.97653,0.99454,0.98352,0.85717,0.6081,0.50265,0.7688,0.000636762,0.000636762,0.000636762
30,5411.77,0.66605,0.50474,0.9764,0.97293,0.99454,0.98125,0.86001,0.61901,0.50213,0.77627,0.000608468,0.000608468,0.000608468
31,5513.08,0.65274,0.44562,0.98937,0.97031,0.99454,0.98115,0.87062,0.56916,0.47128,0.7613,0.000580174,0.000580174,0.000580174
32,5615,0.64753,0.46727,0.97845,0.97919,0.99454,0.9933,0.92152,0.55937,0.44813,0.75436,0.00055188,0.00055188,0.00055188
33,5716.22,0.63455,0.45185,0.99607,0.97464,0.99454,0.99104,0.91741,0.53138,0.44344,0.74388,0.000523586,0.000523586,0.000523586
34,5811.51,0.65381,0.45367,0.99606,0.96792,0.99454,0.9905,0.89432,0.52606,0.44592,0.73383,0.000495291,0.000495291,0.000495291
35,5917.72,0.64164,0.46015,0.98989,0.96859,0.99454,0.98985,0.87978,0.55437,0.43678,0.75478,0.000466997,0.000466997,0.000466997
36,6024.19,0.65731,0.46347,0.99196,0.97156,0.99454,0.99223,0.92467,0.5376,0.40425,0.73373,0.000438703,0.000438703,0.000438703
37,6124.29,0.62312,0.45017,0.98478,0.9783,0.99454,0.99169,0.91804,0.55845,0.41747,0.74375,0.000410409,0.000410409,0.000410409
38,6234.6,0.58573,0.42277,0.97274,0.97381,0.99454,0.99303,0.88942,0.56439,0.42161,0.75308,0.000382115,0.000382115,0.000382115
39,6341.21,0.63928,0.42486,0.98517,0.97608,0.99483,0.99464,0.89067,0.54328,0.41408,0.74439,0.00035382,0.00035382,0.00035382
40,6441.68,0.61844,0.40192,0.98492,0.97848,0.99454,0.99029,0.90762,0.58467,0.42937,0.7695,0.000325526,0.000325526,0.000325526
41,6566.24,0.54637,0.39657,0.98164,0.96563,0.99012,0.98897,0.88651,0.55723,0.45502,0.74173,0.000297232,0.000297232,0.000297232
42,6680.01,0.5396,0.38366,0.98346,0.97469,0.98407,0.98546,0.91777,0.53684,0.43069,0.74169,0.000268938,0.000268938,0.000268938
43,6786.87,0.5287,0.36429,0.9721,0.97008,0.98465,0.98448,0.91393,0.541,0.43675,0.74674,0.000240644,0.000240644,0.000240644
44,6906.1,0.53112,0.36398,0.96447,0.97491,0.99454,0.984,0.89851,0.52929,0.40039,0.73885,0.000212349,0.000212349,0.000212349
